date,company,product_id,category,sales,price,promotion,stockout_days
2023-02-01,Company A,P002,OTC,115.2,10.33,0,0
2023-03-01,Company A,P002,OTC,147.7,10.53,0,0
2023-04-01,Company A,P002,OTC,138.5,10.23,0,0
2023-05-01,Company A,P002,OTC,141.1,9.91,0,0
2023-06-01,Company A,P002,OTC,119.6,9.74,0,0
2023-07-01,Company A,P002,OTC,120.1,9.92,0,0
2023-08-01,Company A,P002,OTC,121.3,9.81,0,2
2023-09-01,Company A,P002,OTC,116.8,9.78,0,0
2023-10-01,Company A,P002,OTC,116.4,9.61,0,0
2023-11-01,Company A,P002,OTC,107.2,10.1,0,0
2023-12-01,Company A,P002,OTC,108.2,10.03,0,3
2024-01-01,Company A,P002,OTC,126.3,9.87,0,0
2024-02-01,Company A,P002,OTC,137.2,9.74,0,0
2024-03-01,Company A,P002,OTC,123.5,9.74,0,0
2024-04-01,Company A,P002,OTC,143.9,9.36,0,0
2024-05-01,Company A,P002,OTC,133.6,10.02,0,0
2024-06-01,Company A,P002,OTC,133.3,9.72,0,3
2024-07-01,Company A,P002,OTC,149.5,10.09,0,0
2024-08-01,Company A,P002,OTC,133.0,10.01,0,0
2024-09-01,Company A,P002,OTC,119.7,10.05,0,0
2024-10-01,Company A,P002,OTC,122.8,10.09,0,0
2024-11-01,Company A,P002,OTC,133.0,9.41,0,0
2024-12-01,Company A,P002,OTC,129.1,10.18,0,1
2025-01-01,Company A,P002,OTC,133.0,9.81,0,0
2025-02-01,Company A,P002,OTC,169.5,10.09,1,0
2025-03-01,Company A,P002,OTC,157.5,9.82,0,1
2025-04-01,Company A,P002,OTC,141.4,9.65,0,0
2025-05-01,Company A,P002,OTC,186.7,9.89,1,0
2025-06-01,Company A,P002,OTC,159.2,10.07,0,3
2025-07-01,Company A,P002,OTC,148.8,9.58,0,0
2025-08-01,Company A,P002,OTC,143.6,10.05,0,0
2025-09-01,Company A,P002,OTC,148.2,9.61,0,3
2025-10-01,Company A,P002,OTC,142.2,9.8,0,5
2025-11-01,Company A,P002,OTC,144.9,9.94,0,2
2025-12-01,Company A,P002,OTC,128.2,10.2,0,0
2022-01-01,Company A,P003,Prescription,154.5,11.2,1,0
2022-02-01,Company A,P003,Prescription,128.7,11.71,0,3
2022-03-01,Company A,P003,Prescription,130.6,11.02,0,2
2022-04-01,Company A,P003,Prescription,148.8,11.78,0,5
2022-05-01,Company A,P003,Prescription,145.1,11.79,0,3
2022-06-01,Company A,P003,Prescription,151.6,11.56,1,1
2022-07-01,Company A,P003,Prescription,129.1,11.73,0,0
2022-08-01,Company A,P003,Prescription,149.9,11.1,1,2
2022-09-01,Company A,P003,Prescription,101.8,11.43,0,2
2022-10-01,Company A,P003,Prescription,120.9,11.87,0,2
2022-11-01,Company A,P003,Prescription,134.4,11.94,1,0
2022-12-01,Company A,P003,Prescription,124.7,11.23,0,0
2023-01-01,Company A,P003,Prescription,144.9,12.03,0,0
2023-02-01,Company A,P003,Prescription,157.2,11.72,1,3
2023-03-01,Company A,P003,Prescription,161.8,11.45,0,0
2023-04-01,Company A,P003,Prescription,152.4,11.71,0,0
2023-05-01,Company A,P003,Prescription,159.4,11.93,0,0
2023-06-01,Company A,P003,Prescription,160.2,11.52,0,3
2023-07-01,Company A,P003,Prescription,143.7,11.69,0,0
2023-08-01,Company A,P003,Prescription,156.3,11.64,1,0
2023-09-01,Company A,P003,Prescription,135.6,11.59,0,0
2023-10-01,Company A,P003,Prescription,119.1,11.08,0,0
2023-11-01,Company A,P003,Prescription,150.7,12.08,1,0
2023-12-01,Company A,P003,Prescription,144.7,11.5,0,0
2024-01-01,Company A,P003,Prescription,155.9,11.52,0,0
2024-02-01,Company A,P003,Prescription,160.1,12.25,0,0
2024-03-01,Company A,P003,Prescription,167.6,11.75,0,0
2024-04-01,Company A,P003,Prescription,163.8,11.71,0,2
2024-05-01,Company A,P003,Prescription,173.9,11.77,0,2
2024-06-01,Company A,P003,Prescription,179.9,11.71,1,0
2024-07-01,Company A,P003,Prescription,142.5,11.52,0,2
2024-08-01,Company A,P003,Prescription,161.2,11.82,0,0
2024-09-01,Company A,P003,Prescription,139.7,11.46,1,5
2024-10-01,Company A,P003,Prescription,139.8,11.72,0,1
2024-11-01,Company A,P003,Prescription,148.3,11.58,0,0
2024-12-01,Company A,P003,Prescription,159.7,11.43,0,2
2025-01-01,Company A,P003,Prescription,155.7,11.38,0,5
2025-02-01,Company A,P003,Prescription,183.7,11.49,0,0
2025-03-01,Company A,P003,Prescription,181.4,11.99,0,0
2025-04-01,Company A,P003,Prescription,179.0,11.71,0,0
2025-05-01,Company A,P003,Prescription,177.1,11.89,0,0
2025-06-01,Company A,P003,Prescription,181.1,11.39,1,0
2025-07-01,Company A,P003,Prescription,167.7,11.56,0,0
2025-08-01,Company A,P003,Prescription,168.4,11.77,0,2
2025-09-01,Company A,P003,Prescription,160.3,12.11,0,0
2025-10-01,Company A,P003,Prescription,150.8,11.34,0,0
2025-11-01,Company A,P003,Prescription,155.9,11.38,0,0
2025-12-01,Company A,P003,Prescription,167.3,11.41,0,0
2022-01-01,Company A,P004,Prescription,142.7,13.24,0,0
2022-02-01,Company A,P004,Prescription,139.6,13.38,0,0
2022-03-01,Company A,P004,Prescription,158.2,13.04,0,0
2022-04-01,Company A,P004,Prescription,157.5,13.49,0,1
2022-05-01,Company A,P004,Prescription,156.7,13.13,0,0
2022-06-01,Company A,P004,Prescription,146.4,13.19,0,0
2022-07-01,Company A,P004,Prescription,141.2,13.46,0,1
2022-08-01,Company A,P004,Prescription,142.7,12.99,0,0
2022-09-01,Company A,P004,Prescription,138.7,13.6,0,0
2022-10-01,Company A,P004,Prescription,146.6,13.26,0,0
2022-11-01,Company A,P004,Prescription,140.1,13.54,0,2
2022-12-01,Company A,P004,Prescription,155.3,13.53,1,0
2023-01-01,Company A,P004,Prescription,146.5,13.51,0,2
2023-02-01,Company A,P004,Prescription,170.8,13.46,0,0
2023-03-01,Company A,P004,Prescription,167.1,13.41,0,0
2023-04-01,Company A,P004,Prescription,177.2,13.27,0,3
2023-05-01,Company A,P004,Prescription,164.6,12.8,0,0
2023-06-01,Company A,P004,Prescription,166.5,12.92,0,0
2023-07-01,Company A,P004,Prescription,163.4,13.12,0,0
2023-08-01,Company A,P004,Prescription,148.1,13.57,0,5
2023-09-01,Company A,P004,Prescription,154.1,13.36,0,0
2023-10-01,Company A,P004,Prescription,146.2,12.97,0,0
2023-11-01,Company A,P004,Prescription,173.9,13.36,0,0
2023-12-01,Company A,P004,Prescription,187.4,13.48,1,0
2024-01-01,Company A,P004,Prescription,181.5,13.32,0,5
2024-02-01,Company A,P004,Prescription,171.8,13.31,0,3
2024-03-01,Company A,P004,Prescription,171.6,13.52,0,0
2024-04-01,Company A,P004,Prescription,193.6,13.47,0,0
2024-05-01,Company A,P004,Prescription,193.6,13.49,0,2
2024-06-01,Company A,P004,Prescription,187.0,13.5,0,1
2024-07-01,Company A,P004,Prescription,183.8,13.71,0,0
2024-08-01,Company A,P004,Prescription,170.0,13.29,0,0
2024-09-01,Company A,P004,Prescription,182.7,13.29,0,5
2024-10-01,Company A,P004,Prescription,168.3,13.64,0,5
2024-11-01,Company A,P004,Prescription,184.8,12.82,1,0
2024-12-01,Company A,P004,Prescription,177.0,13.68,0,0
2025-01-01,Company A,P004,Prescription,203.3,13.66,1,0
2025-02-01,Company A,P004,Prescription,197.4,13.34,0,0
2025-03-01,Company A,P004,Prescription,222.1,13.14,1,0
2025-04-01,Company A,P004,Prescription,191.5,13.01,0,0
2025-05-01,Company A,P004,Prescription,192.6,13.38,0,0
2025-06-01,Company A,P004,Prescription,185.6,13.17,0,0
2025-07-01,Company A,P004,Prescription,198.9,13.11,0,0
2025-08-01,Company A,P004,Prescription,188.3,13.54,0,0
2025-09-01,Company A,P004,Prescription,185.9,13.59,0,0
2025-10-01,Company A,P004,Prescription,184.2,13.65,1,0
2025-11-01,Company A,P004,Prescription,172.1,13.42,0,2
2025-12-01,Company A,P004,Prescription,196.7,13.31,0,2
2022-01-01,Company A,P005,Wellness,159.6,14.95,0,0
2022-02-01,Company A,P005,Wellness,179.4,14.97,0,0
2022-03-01,Company A,P005,Wellness,180.2,15.51,0,0
2022-04-01,Company A,P005,Wellness,184.9,15.29,0,0
2022-05-01,Company A,P005,Wellness,192.8,14.88,1,1
2022-06-01,Company A,P005,Wellness,186.3,15.26,0,0
2022-07-01,Company A,P005,Wellness,171.3,14.93,0,0
2022-08-01,Company A,P005,Wellness,153.5,15.19,0,0
2022-09-01,Company A,P005,Wellness,167.3,15.2,0,3
2022-10-01,Company A,P005,Wellness,157.9,14.93,0,0
2022-11-01,Company A,P005,Wellness,170.7,15.33,1,0
2022-12-01,Company A,P005,Wellness,168.1,15.45,0,0
2023-01-01,Company A,P005,Wellness,177.7,14.99,0,0
2023-02-01,Company A,P005,Wellness,188.7,15.52,0,0
2023-03-01,Company A,P005,Wellness,182.1,15.12,0,0
2023-04-01,Company A,P005,Wellness,208.6,15.26,1,0
2023-05-01,Company A,P005,Wellness,215.1,15.1,1,0
2023-06-01,Company A,P005,Wellness,181.6,15.08,0,0
2023-07-01,Company A,P005,Wellness,187.6,14.91,0,0
2023-08-01,Company A,P005,Wellness,179.6,15.21,0,0
2023-09-01,Company A,P005,Wellness,154.1,15.3,0,0
2023-10-01,Company A,P005,Wellness,189.8,15.01,1,1
2023-11-01,Company A,P005,Wellness,207.5,15.66,1,0
2023-12-01,Company A,P005,Wellness,184.7,15.64,0,3
2024-01-01,Company A,P005,Wellness,195.6,15.99,0,0
2024-02-01,Company A,P005,Wellness,208.8,15.11,0,0
2024-03-01,Company A,P005,Wellness,207.7,15.27,0,0
2024-04-01,Company A,P005,Wellness,214.0,14.72,0,5
2024-05-01,Company A,P005,Wellness,198.4,15.19,0,3
2024-06-01,Company A,P005,Wellness,212.8,14.86,0,0
2024-07-01,Company A,P005,Wellness,200.0,15.27,0,0
2024-08-01,Company A,P005,Wellness,195.2,14.73,0,0
2024-09-01,Company A,P005,Wellness,189.1,15.17,0,2
2024-10-01,Company A,P005,Wellness,197.8,14.92,0,5
2024-11-01,Company A,P005,Wellness,213.7,15.51,1,0
2024-12-01,Company A,P005,Wellness,204.2,14.99,1,0
2025-01-01,Company A,P005,Wellness,208.4,15.12,0,2
2025-02-01,Company A,P005,Wellness,209.5,15.32,0,0
2025-03-01,Company A,P005,Wellness,223.6,15.16,0,0
2025-04-01,Company A,P005,Wellness,242.4,15.14,0,0
2025-05-01,Company A,P005,Wellness,216.7,15.01,0,0
2025-06-01,Company A,P005,Wellness,216.5,15.45,0,2
2025-07-01,Company A,P005,Wellness,208.1,15.33,0,0
2025-08-01,Company A,P005,Wellness,207.5,14.98,0,3
2025-09-01,Company A,P005,Wellness,204.9,15.67,0,0
2025-10-01,Company A,P005,Wellness,203.7,15.22,0,0
2025-11-01,Company A,P005,Wellness,218.1,15.61,0,0
2025-12-01,Company A,P005,Wellness,206.0,15.18,0,0
2022-01-01,Company A,P006,Wellness,199.7,17.22,1,0
2022-02-01,Company A,P006,Wellness,191.7,16.91,0,0
2022-03-01,Company A,P006,Wellness,199.7,16.09,0,0
2022-04-01,Company A,P006,Wellness,204.0,16.71,0,0
2022-05-01,Company A,P006,Wellness,195.6,17.56,0,1
2022-06-01,Company A,P006,Wellness,207.9,17.03,0,0
2022-07-01,Company A,P006,Wellness,188.1,16.66,0,0
2022-08-01,Company A,P006,Wellness,207.2,17.01,1,0
2022-09-01,Company A,P006,Wellness,179.1,17.15,0,0
2022-10-01,Company A,P006,Wellness,185.4,16.9,0,0
2022-11-01,Company A,P006,Wellness,183.9,16.62,0,0
2022-12-01,Company A,P006,Wellness,190.4,17.16,0,0
2023-01-01,Company A,P006,Wellness,194.4,16.88,0,0
2023-02-01,Company A,P006,Wellness,220.6,17.33,0,0
2023-03-01,Company A,P006,Wellness,219.6,17.03,0,3
2023-04-01,Company A,P006,Wellness,216.5,16.82,0,0
2023-05-01,Company A,P006,Wellness,216.3,17.09,0,0
2023-06-01,Company A,P006,Wellness,217.8,17.09,0,0
2023-07-01,Company A,P006,Wellness,201.2,16.59,0,0
2023-08-01,Company A,P006,Wellness,199.0,16.93,0,0
2023-09-01,Company A,P006,Wellness,196.9,17.08,0,0
2023-10-01,Company A,P006,Wellness,176.5,16.91,0,0
2023-11-01,Company A,P006,Wellness,196.9,17.26,0,5
2023-12-01,Company A,P006,Wellness,200.2,17.12,0,0
2024-01-01,Company A,P006,Wellness,221.5,16.86,0,3
2024-02-01,Company A,P006,Wellness,215.4,17.24,0,0
2024-03-01,Company A,P006,Wellness,224.2,16.79,0,3
2024-04-01,Company A,P006,Wellness,226.2,17.11,0,1
2024-05-01,Company A,P006,Wellness,233.9,17.61,0,0
2024-06-01,Company A,P006,Wellness,229.8,17.1,0,0
2024-07-01,Company A,P006,Wellness,220.8,17.36,0,2
2024-08-01,Company A,P006,Wellness,210.2,16.98,0,0
2024-09-01,Company A,P006,Wellness,222.5,16.98,0,1
2024-10-01,Company A,P006,Wellness,226.4,16.6,1,0
2024-11-01,Company A,P006,Wellness,224.3,17.7,0,3
2024-12-01,Company A,P006,Wellness,223.0,16.96,0,1
2025-01-01,Company A,P006,Wellness,231.3,16.9,0,0
2025-02-01,Company A,P006,Wellness,245.0,16.93,0,0
2025-03-01,Company A,P006,Wellness,253.4,17.05,0,5
2025-04-01,Company A,P006,Wellness,250.1,17.39,0,1
2025-05-01,Company A,P006,Wellness,259.8,17.28,0,0
2025-06-01,Company A,P006,Wellness,267.6,16.73,1,1
2025-07-01,Company A,P006,Wellness,232.4,17.33,0,0
2025-08-01,Company A,P006,Wellness,230.0,16.71,0,3
2025-09-01,Company A,P006,Wellness,228.4,17.28,0,0
2025-10-01,Company A,P006,Wellness,219.1,17.11,0,0
2025-11-01,Company A,P006,Wellness,228.7,16.95,0,0
2025-12-01,Company A,P006,Wellness,237.0,16.94,0,2
2022-01-01,Company A,P007,OTC,195.9,18.63,0,0
2022-02-01,Company A,P007,OTC,215.8,18.82,0,1
2022-03-01,Company A,P007,OTC,211.5,19.23,0,0
2022-04-01,Company A,P007,OTC,210.2,18.8,0,0
2022-05-01,Company A,P007,OTC,229.4,19.05,1,2
2022-06-01,Company A,P007,OTC,219.3,18.87,0,0
2022-07-01,Company A,P007,OTC,208.0,18.8,0,5
2022-08-01,Company A,P007,OTC,191.3,18.5,0,0
2022-09-01,Company A,P007,OTC,187.7,18.55,0,0
2022-10-01,Company A,P007,OTC,214.1,18.7,0,0
2022-11-01,Company A,P007,OTC,187.5,18.77,0,0
2022-12-01,Company A,P007,OTC,195.9,18.61,0,0
2023-01-01,Company A,P007,OTC,219.6,18.47,0,0
2023-02-01,Company A,P007,OTC,228.8,18.8,0,0
2023-03-01,Company A,P007,OTC,232.6,18.95,0,3
2023-04-01,Company A,P007,OTC,240.9,18.74,0,0
2023-05-01,Company A,P007,OTC,248.4,18.49,0,0
2023-06-01,Company A,P007,OTC,221.4,18.47,0,0
2023-07-01,Company A,P007,OTC,224.5,18.64,0,0
2023-08-01,Company A,P007,OTC,213.8,19.37,0,0
2023-09-01,Company A,P007,OTC,214.1,18.75,0,3
2023-10-01,Company A,P007,OTC,224.9,18.35,1,0
2023-11-01,Company A,P007,OTC,231.6,18.79,0,2
2023-12-01,Company A,P007,OTC,233.2,18.57,0,0
2024-01-01,Company A,P007,OTC,229.9,18.94,0,2
2024-02-01,Company A,P007,OTC,233.0,18.5,0,0
2024-03-01,Company A,P007,OTC,248.6,18.88,0,0
2024-04-01,Company A,P007,OTC,255.6,18.95,0,0
2024-05-01,Company A,P007,OTC,242.9,19.22,0,0
2024-06-01,Company A,P007,OTC,248.6,18.7,0,3
2024-07-01,Company A,P007,OTC,231.1,19.04,0,0
2024-08-01,Company A,P007,OTC,241.5,18.62,0,0
2024-09-01,Company A,P007,OTC,235.9,19.23,0,0
2024-10-01,Company A,P007,OTC,236.9,19.0,0,0
2024-11-01,Company A,P007,OTC,238.4,18.59,0,3
2024-12-01,Company A,P007,OTC,249.9,19.18,0,3
2025-01-01,Company A,P007,OTC,255.7,18.64,0,0
2025-02-01,Company A,P007,OTC,291.2,18.89,1,0
2025-03-01,Company A,P007,OTC,248.8,18.3,0,0
2025-04-01,Company A,P007,OTC,289.3,18.47,1,2
2025-05-01,Company A,P007,OTC,275.8,18.84,0,0
2025-06-01,Company A,P007,OTC,249.3,18.86,0,5
2025-07-01,Company A,P007,OTC,256.5,18.51,0,0
2025-08-01,Company A,P007,OTC,240.7,18.95,0,0
2025-09-01,Company A,P007,OTC,234.6,18.55,0,0
2025-10-01,Company A,P007,OTC,251.6,18.5,0,1
2025-11-01,Company A,P007,OTC,260.8,18.94,0,2
2025-12-01,Company A,P007,OTC,284.4,18.43,1,0
2022-01-01,Company A,P008,Prescription,211.5,20.59,0,0
2022-02-01,Company A,P008,Prescription,250.4,20.67,1,0
2022-03-01,Company A,P008,Prescription,237.3,20.13,0,0
2022-04-01,Company A,P008,Prescription,237.1,20.7,0,5
2022-05-01,Company A,P008,Prescription,257.9,21.28,1,0
2022-06-01,Company A,P008,Prescription,234.6,20.71,0,0
2022-07-01,Company A,P008,Prescription,244.3,20.68,0,1
2022-08-01,Company A,P008,Prescription,219.6,20.54,0,3
2022-09-01,Company A,P008,Prescription,219.8,21.08,0,0
2022-10-01,Company A,P008,Prescription,212.7,20.5,0,0
2022-11-01,Company A,P008,Prescription,227.6,20.17,0,0
2022-12-01,Company A,P008,Prescription,230.1,20.32,0,0
2023-01-01,Company A,P008,Prescription,243.4,20.22,0,5
2023-02-01,Company A,P008,Prescription,231.5,20.59,0,1
2023-03-01,Company A,P008,Prescription,252.5,20.67,0,5
2023-04-01,Company A,P008,Prescription,231.7,20.52,0,0
2023-05-01,Company A,P008,Prescription,255.1,20.91,0,0
2023-06-01,Company A,P008,Prescription,243.6,20.43,0,0
2023-07-01,Company A,P008,Prescription,267.2,20.13,1,5
2023-08-01,Company A,P008,Prescription,238.7,20.74,0,5
2023-09-01,Company A,P008,Prescription,234.1,20.55,0,0
2023-10-01,Company A,P008,Prescription,242.0,20.66,0,0
2023-11-01,Company A,P008,Prescription,244.1,20.5,0,0
2023-12-01,Company A,P008,Prescription,256.8,20.94,0,0
2024-01-01,Company A,P008,Prescription,263.3,20.84,0,0
2024-02-01,Company A,P008,Prescription,262.3,20.7,0,0
2024-03-01,Company A,P008,Prescription,263.5,20.81,0,0
2024-04-01,Company A,P008,Prescription,280.2,20.53,0,0
2024-05-01,Company A,P008,Prescription,279.0,20.66,1,0
2024-06-01,Company A,P008,Prescription,246.9,20.29,0,0
2024-07-01,Company A,P008,Prescription,268.1,20.25,0,0
2024-08-01,Company A,P008,Prescription,262.2,21.18,0,0
2024-09-01,Company A,P008,Prescription,251.6,20.52,0,2
2024-10-01,Company A,P008,Prescription,253.0,20.97,0,0
2024-11-01,Company A,P008,Prescription,260.4,21.05,0,0
2024-12-01,Company A,P008,Prescription,260.6,20.39,0,0
2025-01-01,Company A,P008,Prescription,275.4,20.28,0,0
2025-02-01,Company A,P008,Prescription,269.5,20.63,0,0
2025-03-01,Company A,P008,Prescription,272.4,20.55,0,0
2025-04-01,Company A,P008,Prescription,300.3,20.5,1,0
2025-05-01,Company A,P008,Prescription,298.2,20.63,0,1
2025-06-01,Company A,P008,Prescription,283.8,20.82,0,0
2025-07-01,Company A,P008,Prescription,286.3,20.45,0,0
2025-08-01,Company A,P008,Prescription,270.9,20.51,0,0
2025-09-01,Company A,P008,Prescription,266.8,20.78,0,0
2025-10-01,Company A,P008,Prescription,270.8,20.93,0,0
2025-11-01,Company A,P008,Prescription,283.3,20.07,0,1
2025-12-01,Company A,P008,Prescription,287.1,20.62,0,0
2022-01-01,Company B,P001,OTC,86.0,8.08,0,1
2022-02-01,Company B,P001,OTC,119.3,8.42,0,2
2022-03-01,Company B,P001,OTC,92.0,8.44,0,3
2022-04-01,Company B,P001,OTC,125.0,8.8,0,0
2022-05-01,Company B,P001,OTC,120.5,8.64,0,0
2022-06-01,Company B,P001,OTC,102.7,9.0,0,0
2022-07-01,Company B,P001,OTC,93.3,8.27,0,2
2022-08-01,Company B,P001,OTC,108.3,8.56,0,0
2022-09-01,Company B,P001,OTC,96.1,8.05,0,0
2022-10-01,Company B,P001,OTC,100.4,8.11,0,0
2022-11-01,Company B,P001,OTC,96.7,8.16,0,0
2022-12-01,Company B,P001,OTC,111.0,8.7,0,0
2023-01-01,Company B,P001,OTC,112.7,8.3,0,2
2023-02-01,Company B,P001,OTC,113.3,8.21,0,0
2023-03-01,Company B,P001,OTC,110.9,8.51,0,1
2023-04-01,Company B,P001,OTC,125.9,8.14,0,0
2023-05-01,Company B,P001,OTC,151.4,7.95,1,0
2023-06-01,Company B,P001,OTC,120.4,8.64,0,0
2023-07-01,Company B,P001,OTC,103.4,7.91,0,0
2023-08-01,Company B,P001,OTC,107.6,8.15,0,2
2023-09-01,Company B,P001,OTC,101.8,8.59,0,0
2023-10-01,Company B,P001,OTC,108.7,8.89,0,1
2023-11-01,Company B,P001,OTC,118.3,8.82,0,0
2023-12-01,Company B,P001,OTC,125.3,8.63,0,1
2024-01-01,Company B,P001,OTC,118.1,8.57,0,0
2024-02-01,Company B,P001,OTC,128.6,8.33,0,0
2024-03-01,Company B,P001,OTC,119.0,8.58,0,0
2024-04-01,Company B,P001,OTC,136.0,8.69,0,0
2024-05-01,Company B,P001,OTC,143.8,7.91,0,0
2024-06-01,Company B,P001,OTC,157.8,8.2,1,0
2024-07-01,Company B,P001,OTC,125.9,8.57,0,3
2024-08-01,Company B,P001,OTC,128.6,8.5,0,0
2024-09-01,Company B,P001,OTC,121.2,7.9,0,0
2024-10-01,Company B,P001,OTC,116.8,8.47,0,0
2024-11-01,Company B,P001,OTC,113.3,8.37,0,0
2024-12-01,Company B,P001,OTC,120.9,8.44,0,0
2025-01-01,Company B,P001,OTC,116.7,8.69,0,3
2025-02-01,Company B,P001,OTC,128.8,8.47,0,0
2025-03-01,Company B,P001,OTC,137.2,8.56,0,2
2025-04-01,Company B,P001,OTC,139.6,8.48,0,5
2025-05-01,Company B,P001,OTC,148.0,8.44,0,0
2025-06-01,Company B,P001,OTC,143.7,8.32,0,0
2025-07-01,Company B,P001,OTC,127.4,8.37,0,0
2025-08-01,Company B,P001,OTC,153.5,8.37,1,0
2025-09-01,Company B,P001,OTC,133.8,8.37,0,1
2025-10-01,Company B,P001,OTC,114.9,8.37,0,0
2025-11-01,Company B,P001,OTC,124.7,9.09,0,0
2025-12-01,Company B,P001,OTC,142.6,8.38,1,0
2022-01-01,Company B,P002,OTC,121.9,10.78,0,0
2022-02-01,Company B,P002,OTC,136.1,10.26,0,2
2022-03-01,Company B,P002,OTC,139.1,10.27,0,5
2022-04-01,Company B,P002,OTC,132.1,10.17,0,0
2022-05-01,Company B,P002,OTC,144.2,9.95,0,0
2022-06-01,Company B,P002,OTC,140.6,10.32,0,2
2022-07-01,Company B,P002,OTC,126.1,10.31,0,3
2022-08-01,Company B,P002,OTC,117.7,9.94,0,0
2022-09-01,Company B,P002,OTC,104.3,10.25,0,1
2022-10-01,Company B,P002,OTC,111.2,10.67,0,2
2022-11-01,Company B,P002,OTC,122.4,10.11,0,0
2022-12-01,Company B,P002,OTC,119.2,10.52,0,0
2023-01-01,Company B,P002,OTC,125.8,10.16,0,0
2023-02-01,Company B,P002,OTC,152.6,10.87,0,0
2023-03-01,Company B,P002,OTC,135.6,10.11,0,0
2023-04-01,Company B,P002,OTC,157.4,10.26,1,0
2023-05-01,Company B,P002,OTC,139.5,11.0,0,0
2023-06-01,Company B,P002,OTC,139.0,10.32,0,0
2023-07-01,Company B,P002,OTC,145.5,10.37,0,0
2023-08-01,Company B,P002,OTC,121.5,10.67,0,0
2023-09-01,Company B,P002,OTC,106.8,10.05,0,0
2023-10-01,Company B,P002,OTC,134.2,9.9,0,0
2023-11-01,Company B,P002,OTC,114.8,10.3,0,0
2023-12-01,Company B,P002,OTC,119.3,10.22,0,0
2024-01-01,Company B,P002,OTC,137.6,10.19,0,0
